Chr	Start	Stop	GeneID	Max_norm_counts	RH4_dCBP1_072221_CWRU	RH4_DMSO_072221_CWRU	Norm_RH4_dCBP1_072221_CWRU	Norm_RH4_DMSO_072221_CWRU
14	77505997	77616663	SPTLC2	0.41	4.1	2.23	0.41	0.22
9	92031141	92115413	SPTLC1	4.15	41.47	23.34	4.15	2.34
15	41848146	41894053	SPTBN5	0.01	0.06	0.05	0.01	0.01
19	40467001	40576464	SPTBN4	0.01	0.09	0.03	0.01	0.00
11	66682496	66729361	SPTBN2	0.04	0.44	0.19	0.04	0.02
2	54519579	54557756	SPTBN1-AS1	0.01	0.09	0	0.01	0.00
2	54456327	54671446	SPTBN1	0.82	8.22	6.35	0.82	0.64
14	64744106	64879907	SPTB	0.00	0.02	0.02	0.00	0.00
9	128552564	128633662	SPTAN1	0.78	7.8	3.72	0.78	0.37
1	158610498	158686715	SPTA1	0.00	0	0	0.00	0.00
3	141051347	141148611	SPSB4	0.74	2.41	7.36	0.24	0.74
16	1776712	1782571	SPSB3	0.52	5.18	1.92	0.52	0.19
12	6870935	6873303	SPSB2	0.20	2.03	1.86	0.20	0.19
1	9292894	9369532	SPSB1	0.02	0.2	0.23	0.02	0.02
13	49912702	49936501	SPRYD7	0.34	3.42	2.14	0.34	0.21
12	56468578	56479708	SPRYD4	0.17	1.72	1.39	0.17	0.14
12	53064316	53079390	SPRYD3	0.41	4.13	3.67	0.41	0.37
5	142317620	142318322	SPRY4-IT1	0.05	0	0.45	0.00	0.05
5	142325293	142464054	SPRY4-AS1	0.01	0	0.11	0.00	0.01
5	142310430	142325021	SPRY4	0.24	0.77	2.38	0.08	0.24
X	155612586	155782459	SPRY3	0.00	0	0	0.00	0.00
13	80335976	80341126	SPRY2	3.18	3.99	31.8	0.40	3.18
4	123396795	123403760	SPRY1	2.43	0.87	24.29	0.09	2.43
1	231337980	231355023	SPRTN	0.74	7.43	4.01	0.74	0.40
1	152968755	152972602	SPRR4	0.00	0	0	0.00	0.00
1	153001749	153003856	SPRR3	0.00	0	0	0.00	0.00
1	153149582	153195377	SPRR2G	0.00	0	0	0.00	0.00
1	153112121	153119468	SPRR2F	0.00	0	0	0.00	0.00
1	153093135	153094526	SPRR2E	0.00	0	0	0.00	0.00
1	153039732	153041120	SPRR2D	0.00	0	0	0.00	0.00
1	153140118	153141493	SPRR2C	0.00	0	0	0.00	0.00
1	153070226	153071611	SPRR2B	0.00	0	0	0.00	0.00
1	153056120	153057512	SPRR2A	0.00	0	0	0.00	0.00
1	153031203	153032900	SPRR1B	0.00	0	0	0.00	0.00
1	152984081	152985814	SPRR1A	0.00	0	0	0.00	0.00
10	133566934	133569958	SPRNP1	0.00	0.02	0	0.00	0.00
10	133420666	133424625	SPRN	0.04	0.44	0.31	0.04	0.03
12	116710171	116738069	SPRING1	1.19	11.88	6.71	1.19	0.67
19	38388697	38399587	SPRED3	0.04	0.35	0.09	0.04	0.01
2	65307425	65432599	SPRED2	0.67	6.66	6.7	0.67	0.67
15	38252087	38357249	SPRED1	1.07	6.57	10.69	0.66	1.07
2	72887408	72892158	SPR	1.52	15.14	12.14	1.52	1.22
12	120762510	120904358	SPPL3	1.25	12.5	8.27	1.25	0.83
17	45844881	45847067	SPPL2C	0.00	0	0	0.00	0.00
19	2328571	2355095	SPPL2B	0.19	1.91	1.55	0.19	0.16
15	50702266	50765712	SPPL2A	0.82	8.15	6.08	0.82	0.61
2	234050667	234077134	SPP2	0.01	0	0.08	0.00	0.01
4	87975714	87983411	SPP1	0.00	0	0	0.00	0.00
9	128819651	128833309	SPOUT1	0.54	5.43	3.82	0.54	0.38
2	138501770	138573547	SPOPL	0.34	3.36	2.52	0.34	0.25
17	49598884	49678163	SPOP	1.87	18.66	10.71	1.87	1.07
4	1166932	1208844	SPON2	0.02	0.19	0.14	0.02	0.01
11	13962723	14268133	SPON1	0.04	0.43	0.38	0.04	0.04
4	166733384	167234869	SPOCK3	0.32	2.77	3.16	0.28	0.32
10	72059034	72095313	SPOCK2	0.05	0.52	0.25	0.05	0.03
5	136975298	137499326	SPOCK1	0.01	0.04	0.1	0.00	0.01
1	31790422	31816022	SPOCD1	0.01	0.07	0	0.01	0.00
20	57329757	57343993	SPO11	0.00	0	0	0.00	0.00
17	4433940	4488204	SPNS3	0.00	0.03	0	0.00	0.00
17	4498881	4539035	SPNS2	0.01	0.13	0.01	0.01	0.00
16	28973999	28984769	SPNS1	1.86	18.54	14.52	1.86	1.45
16	29662963	29670876	SPN	0.00	0	0	0.00	0.00
16	89828475	89871319	SPIRE2	0.03	0.34	0.13	0.03	0.01
18	12446512	12662091	SPIRE1	0.70	7	6.54	0.70	0.65
20	45722347	45725830	SPINT4	0.00	0	0	0.00	0.00
20	45512461	45515622	SPINT3	0.00	0	0	0.00	0.00
19	38264573	38292615	SPINT2	0.01	0.1	0.1	0.01	0.01
15	40835993	40844524	SPINT1-AS1	0.00	0	0	0.00	0.00
15	40844048	40858207	SPINT1	0.00	0.02	0.02	0.00	0.00
5	148323219	148341974	SPINK9	0.00	0.02	0	0.00	0.00
3	48306842	48333909	SPINK8	0.00	0	0	0.00	0.00
5	148312423	148315919	SPINK7	0.00	0	0	0.00	0.00
5	148202778	148215137	SPINK6	0.00	0	0	0.00	0.00
5	148063980	148137382	SPINK5	0.00	0	0	0.00	0.00
9	33240167	33248567	SPINK4	0.00	0	0	0.00	0.00
4	56809860	56822210	SPINK2	0.00	0	0	0.00	0.00
5	148168546	148176076	SPINK14	0.00	0	0	0.00	0.00
5	148268794	148286255	SPINK13	0.00	0	0	0.00	0.00
5	147824582	147839196	SPINK1	0.00	0	0	0.00	0.00
11	63813374	63827718	SPINDOC	1.53	15.3	9.09	1.53	0.91
X	63283687	63352188	SPIN4-AS1	0.00	0	0	0.00	0.00
X	63347228	63351332	SPIN4	0.77	7.69	5.77	0.77	0.58
X	56975120	56995801	SPIN3	0.16	1.64	0.69	0.16	0.07
X	57112142	57121905	SPIN2B	0.33	2.16	3.25	0.22	0.33
X	57133043	57138688	SPIN2A	0.01	0.14	0.07	0.01	0.01
9	88388444	88478694	SPIN1	3.85	35.51	38.41	3.56	3.85
8	47260878	47736306	SPIDR	0.36	3.61	3.64	0.36	0.36
3	113442718	113515156	SPICE1	0.18	1.82	1.16	0.18	0.12
12	101475276	101486997	SPIC	0.00	0	0	0.00	0.00
19	50418938	50431314	SPIB	0.01	0.03	0.07	0.00	0.01
11	47354859	47395640	SPI1	0.00	0	0	0.00	0.00
2	227979954	228181999	SPHKAP	0.00	0.01	0	0.00	0.00
19	48619409	48630407	SPHK2	0.38	3.75	2.6	0.38	0.26
17	76383204	76387855	SPHK1	0.08	0.69	0.79	0.07	0.08
16	89508379	89557768	SPG7	0.51	5.11	4.58	0.51	0.46
15	64963022	64989914	SPG21	3.30	32.99	31.28	3.30	3.13
15	44562696	44663678	SPG11	0.21	2.12	1.97	0.21	0.20
15	68930525	68946811	SPESP1	0.00	0	0	0.00	0.00
1	15847707	15940456	SPEN	0.30	3.02	2.01	0.30	0.20
17	7428857	7432820	SPEM3	0.00	0	0	0.00	0.00
17	7424874	7427568	SPEM2	0.01	0	0.07	0.00	0.01
17	7420324	7421632	SPEM1	0.00	0	0	0.00	0.00
2	219496131	219498287	SPEGNB	0.02	0.06	0.19	0.01	0.02
2	219434215	219493629	SPEG	0.28	1.52	2.79	0.15	0.28
5	35617367	35814611	SPEF2	0.00	0	0	0.00	0.00
20	3777504	3781448	SPEF1	0.01	0.1	0.06	0.01	0.01
22	24270817	24442360	SPECC1L-ADORA2A	0.02	0.21	0.18	0.02	0.02
22	24270831	24417738	SPECC1L	0.97	9.71	6.68	0.97	0.67
17	20009301	20319026	SPECC1	0.49	4.9	4.04	0.49	0.40
7	73075972	73086038	SPDYE9	0.00	0	0.01	0.00	0.00
7	73019719	73029766	SPDYE8	0.00	0	0.01	0.00	0.00
7	72862757	72871506	SPDYE7P	0.00	0	0	0.00	0.00
7	102345746	102356444	SPDYE6	0.01	0.11	0.07	0.01	0.01
7	75492320	75504316	SPDYE5	0.02	0.15	0.07	0.02	0.01
17	8747532	8758546	SPDYE4	0.00	0	0	0.00	0.00
7	100306798	100322196	SPDYE3	0.02	0.24	0.17	0.02	0.02
7	102649122	102663525	SPDYE2B	0.10	1	0.42	0.10	0.04
7	67276941	67289005	SPDYE21	0.01	0.06	0.07	0.01	0.01
7	102551232	102565227	SPDYE2	0.12	1.17	0.61	0.12	0.06
7	77050391	77062558	SPDYE18	0.02	0.18	0	0.02	0.00
7	77022306	77032361	SPDYE17	0.01	0.06	0	0.01	0.00
7	76531313	76543297	SPDYE16	0.01	0	0.06	0.00	0.01
7	75335343	75345396	SPDYE15	0.00	0	0.01	0.00	0.00
7	75237205	75317429	SPDYE14	0.00	0	0.01	0.00	0.00
7	75280790	75289501	SPDYE13	0.01	0.08	0	0.01	0.00
7	73047862	73057911	SPDYE11	0.02	0.16	0.14	0.02	0.01
7	43997897	44011040	SPDYE1	0.06	0.63	0.24	0.06	0.02
11	65170154	65173666	SPDYC	0.00	0	0	0.00	0.00
2	28810834	28850610	SPDYA	0.04	0.36	0.26	0.04	0.03
5	169583661	169604778	SPDL1	1.41	14.06	7.16	1.41	0.72
6	34537800	34556329	SPDEF	0.00	0.03	0	0.00	0.00
4	176319966	176332245	SPCS3	5.13	51.2	48.17	5.13	4.82
11	74949266	74979033	SPCS2	1.70	16.99	12.34	1.70	1.24
3	52706106	52711148	SPCS1	0.61	6.05	5	0.61	0.50
2	168865045	168890443	SPC25	1.77	17.65	11	1.77	1.10
19	11145493	11155997	SPC24	0.56	4.92	5.63	0.49	0.56
2	200305879	200482264	SPATS2L	10.78	48	107.64	4.81	10.78
12	49366909	49527441	SPATS2	0.83	8.26	7.32	0.83	0.73
6	44342650	44380179	SPATS1	0.00	0	0	0.00	0.00
21	46161148	46185163	SPATC1L	0.61	5.62	6.12	0.56	0.61
8	144010992	144047114	SPATC1	0.00	0	0	0.00	0.00
5	95652181	95732102	SPATA9	0.04	0.15	0.36	0.02	0.04
15	96772005	96783337	SPATA8-AS1	0.00	0	0	0.00	0.00
15	96783435	96785615	SPATA8	0.00	0	0	0.00	0.00
14	88385638	88470350	SPATA7	0.39	3.88	1.26	0.39	0.13
9	4540643	4666674	SPATA6L	0.01	0.07	0.03	0.01	0.00
1	48258643	48472204	SPATA6	0.52	3.29	5.17	0.33	0.52
15	45402336	45421415	SPATA5L1	0.28	2.77	2.54	0.28	0.25
4	122923070	123319433	SPATA5	0.89	8.91	5.83	0.89	0.58
7	50095861	50159256	SPATA48	0.00	0	0	0.00	0.00
1	162373203	162376962	SPATA46	0.00	0.03	0.03	0.00	0.00
1	212830141	212847649	SPATA45	0.03	0.14	0.28	0.01	0.03
1	108857217	108858524	SPATA42	0.03	0	0.31	0.00	0.03
15	100344457	100350718	SPATA41	0.02	0.15	0.05	0.02	0.01
4	176184579	176195585	SPATA4	0.01	0.09	0.05	0.01	0.01
2	230984368	230996032	SPATA3-AS1	0.00	0	0.01	0.00	0.00
16	89657776	89670458	SPATA33	0.24	2.44	1.75	0.24	0.18
17	45254393	45262094	SPATA32	0.01	0	0.08	0.00	0.01
9	87882877	87888903	SPATA31E1	0.00	0	0	0.00	0.00
9	81913437	81919927	SPATA31D5P	0.00	0	0.01	0.00	0.00
9	81928428	81934998	SPATA31D4	0.00	0	0	0.00	0.00
9	81943500	81950093	SPATA31D3	0.00	0	0	0.00	0.00
9	81987405	81995256	SPATA31D1	0.00	0	0	0.00	0.00
9	88129305	88138475	SPATA31C2	0.00	0	0.02	0.00	0.00
9	87913936	87923657	SPATA31C1	0.00	0	0	0.00	0.00
9	61190036	61196280	SPATA31A7	0.00	0	0	0.00	0.00
9	42183659	42189887	SPATA31A6	0.00	0	0	0.00	0.00
9	60914372	60920653	SPATA31A5	0.00	0	0	0.00	0.00
9	66986304	66992550	SPATA31A3	0.00	0	0	0.00	0.00
9	39355667	39361962	SPATA31A1	0.00	0	0	0.00	0.00
2	230996121	231019938	SPATA3	0.00	0	0	0.00	0.00
16	89696357	89701705	SPATA2L	0.12	1.23	1.09	0.12	0.11
20	45886491	45890815	SPATA25	0.09	0.46	0.86	0.05	0.09
5	139395269	139404204	SPATA24	0.06	0.48	0.6	0.05	0.06
17	3440019	3513858	SPATA22	0.00	0	0	0.00	0.00
1	16395606	16437842	SPATA21	0.01	0.12	0.14	0.01	0.01
17	50547174	50555852	SPATA20	0.28	2.83	2.76	0.28	0.28
20	49903391	49915529	SPATA2	0.38	3.8	2.43	0.38	0.24
11	133835930	133845533	SPATA19	0.00	0	0	0.00	0.00
4	52051304	52097299	SPATA18	0.02	0.21	0.05	0.02	0.01
1	217781198	217785120	SPATA17-AS1	0.00	0	0	0.00	0.00
1	217631333	217871696	SPATA17	0.06	0.55	0.18	0.06	0.02
3	172889357	173141235	SPATA16	0.00	0.02	0.03	0.00	0.00
13	24252749	24254439	SPATA13-AS1	0.02	0	0.18	0.00	0.02
13	23979802	24307069	SPATA13	0.31	1.33	3.09	0.13	0.31
3	57060664	57075432	SPATA12	0.01	0.07	0.1	0.01	0.01
1	84506301	84556495	SPATA1	0.03	0.06	0.3	0.01	0.03
2	32063551	32157637	SPAST	1.26	12.59	7.68	1.26	0.77
13	36346431	36369735	SPART-AS1	0.06	0.62	0.35	0.06	0.04
13	36301638	36370180	SPART	2.61	17.26	26.05	1.73	2.61
4	87473335	87529376	SPARCL1	0.01	0.08	0	0.01	0.00
5	151661096	151686915	SPARC	30.31	302.66	249.26	30.31	24.96
X	52796144	52797427	SPANXN5	0.00	0	0	0.00	0.00
X	143025928	143038637	SPANXN4	0.00	0	0	0.00	0.00
X	143508735	143517475	SPANXN3	0.00	0	0	0.00	0.00
X	143712035	143720668	SPANXN2	0.00	0	0	0.00	0.00
X	145247503	145256208	SPANXN1	0.00	0	0	0.00	0.00
X	141697411	141698739	SPANXD	0.00	0	0	0.00	0.00
X	141241463	141242517	SPANXC	0.00	0	0	0.00	0.00
X	141002594	141003706	SPANXB1	0.00	0	0	0.00	0.00
X	141502849	141649939	SPANXA2-OT1	0.03	0.3	0.24	0.03	0.02
X	141589708	141590762	SPANXA2	0.00	0	0	0.00	0.00
X	141583674	141584738	SPANXA1	0.00	0	0	0.00	0.00
7	123925241	123971414	SPAM1	0.00	0	0	0.00	0.00
17	50962174	51120868	SPAG9	0.41	4.07	2.6	0.41	0.26
9	35807785	35812272	SPAG8	0.03	0.26	0.15	0.03	0.02
17	4959226	4967817	SPAG7	1.19	11.86	8.56	1.19	0.86
10	22345461	22417610	SPAG6	0.01	0.02	0.07	0.00	0.01
17	28599133	28617377	SPAG5-AS1	0.05	0.31	0.46	0.03	0.05
17	28577574	28599025	SPAG5	1.46	14.55	6.67	1.46	0.67
20	35615829	35621094	SPAG4	0.01	0.07	0.04	0.01	0.00
1	117953590	118185228	SPAG17	0.00	0.01	0.04	0.00	0.00
2	213275786	213284209	SPAG16-DT	0.01	0.14	0	0.01	0.00
2	213284369	214410501	SPAG16	1.20	12.03	8.81	1.20	0.88
8	7447754	7463542	SPAG11B	0.00	0	0	0.00	0.00
8	7847923	7863797	SPAG11A	0.00	0	0	0.00	0.00
8	100157869	100241904	SPAG1	0.06	0.58	0.13	0.06	0.01
9	132878320	132890314	SPACA9	0.02	0.18	0.11	0.02	0.01
13	112376300	112434689	SPACA7	0.00	0	0	0.00	0.00
19	51685595	51713157	SPACA6	0.05	0.31	0.51	0.03	0.05
X	48130626	48132620	SPACA5B	0.00	0	0	0.00	0.00
X	48004336	48009733	SPACA5	0.00	0	0	0.00	0.00
19	48606742	48607714	SPACA4	0.01	0.06	0.06	0.01	0.01
17	32991847	32997877	SPACA3	0.00	0	0	0.00	0.00
6	88046907	88066838	SPACA1	0.00	0	0	0.00	0.00
9	35909490	35911686	SPAAR	0.60	1.33	5.99	0.13	0.60
11	124673904	124697518	SPA17	0.43	4.25	4.08	0.43	0.41
2	174334954	174338500	SP9	0.05	0.42	0.53	0.04	0.05
7	20782279	20786886	SP8	0.02	0.17	0.05	0.02	0.01
12	53326575	53344793	SP7	0.00	0.03	0.03	0.00	0.00
17	47844908	47876312	SP6	0.00	0.01	0	0.00	0.00
2	170714725	170718078	SP5	0.00	0	0	0.00	0.00
7	21428083	21514822	SP4	0.86	8.56	6.45	0.86	0.65
2	173900775	173965702	SP3	2.38	23.18	23.72	2.32	2.38
17	47891229	47895816	SP2-DT	0.22	2.24	1.82	0.22	0.18
17	47898386	47941404	SP2-AS1	0.05	0.5	0.4	0.05	0.04
17	47896032	47932271	SP2	0.19	1.88	1.24	0.19	0.12
2	230327152	230407506	SP140L	0.05	0.33	0.48	0.03	0.05
2	230202743	230316571	SP140	0.00	0.02	0	0.00	0.00
2	230165186	230225729	SP110	0.04	0.39	0.17	0.04	0.02
2	230416201	230545606	SP100	0.05	0.47	0.36	0.05	0.04
12	53380176	53416446	SP1	0.84	8.33	8.43	0.83	0.84
17	72071042	72120793	SOX9-AS1	0.01	0.07	0.03	0.01	0.00
17	72121020	72126416	SOX9	0.18	0.52	1.77	0.05	0.18
16	981770	986979	SOX8	6.57	7.1	65.59	0.71	6.57
8	10723768	10730511	SOX7	0.05	0.45	0.26	0.05	0.03
11	15966449	16738477	SOX6	0.15	0.36	1.46	0.04	0.15
12	24223271	24237965	SOX5-AS1	0.00	0	0	0.00	0.00
12	23529499	24562701	SOX5	0.01	0.03	0.13	0.00	0.01
6	21593751	21598619	SOX4	0.87	0.98	8.7	0.10	0.87
5	157625679	157671480	SOX30	0.02	0.16	0.05	0.02	0.01
X	140502985	140505069	SOX3	0.00	0	0	0.00	0.00
3	181056680	181742228	SOX2-OT	0.00	0.03	0	0.00	0.00
13	94712716	94715945	SOX21-AS1	0.00	0	0.03	0.00	0.00
13	94709622	94712545	SOX21	0.01	0.1	0.02	0.01	0.00
3	181711925	181714436	SOX2	0.00	0	0.02	0.00	0.00
13	111972310	112108015	SOX1-OT	0.00	0	0	0.00	0.00
20	64047582	64049639	SOX18	0.00	0	0	0.00	0.00
8	54457935	54460892	SOX17	0.00	0	0	0.00	0.00
17	7588178	7590094	SOX15	0.03	0.32	0.27	0.03	0.03
3	137764315	137766334	SOX14	0.00	0	0	0.00	0.00
1	204073096	204127743	SOX13	0.13	1.26	1.25	0.13	0.13
20	325552	330224	SOX12	0.59	2.61	5.88	0.26	0.59
2	5692384	5701385	SOX11	0.38	1.89	3.82	0.19	0.38
22	37972312	37984555	SOX10	0.01	0.07	0	0.01	0.00
13	112067149	112071706	SOX1	0.00	0	0	0.00	0.00
X	119758588	119760202	SOWAHD	0.01	0.06	0.03	0.01	0.00
2	109614364	109618990	SOWAHC	0.32	3.15	2.25	0.32	0.23
4	76894152	76898144	SOWAHB	0.00	0.02	0	0.00	0.00
5	132813302	132816786	SOWAHA	0.00	0.01	0	0.00	0.00
7	16461481	16465738	SOSTDC1	0.00	0	0	0.00	0.00
17	43753738	43758791	SOST	0.00	0	0	0.00	0.00
14	50117130	50231578	SOS2	0.65	6.54	5.9	0.65	0.59
2	38981549	39124868	SOS1	0.34	3.42	2.71	0.34	0.27
1	109309575	109397940	SORT1	1.57	15.63	12.77	1.57	1.28
11	121439082	121453013	SORL1-AS1	0.00	0	0	0.00	0.00
11	121452314	121633763	SORL1	0.01	0.08	0.08	0.01	0.01
15	44825747	44884694	SORD2P	0.03	0.26	0.19	0.03	0.02
15	45023195	45077185	SORD	0.62	6.2	4.15	0.62	0.42
10	104664608	104666216	SORCS3-AS1	0.00	0	0	0.00	0.00
10	104641290	105265242	SORCS3	0.00	0	0	0.00	0.00
4	7192538	7742828	SORCS2	0.03	0.26	0.2	0.03	0.02
10	106573663	107181138	SORCS1	0.67	6.73	6.6	0.67	0.66
8	22544990	22575788	SORBS3	0.17	1.64	1.66	0.16	0.17
4	185585523	185956372	SORBS2	0.00	0	0.01	0.00	0.00
10	95311773	95561439	SORBS1	0.04	0.39	0.24	0.04	0.02
21	33543038	33577481	SON	3.03	30.21	22.37	3.03	2.24
13	36168217	36214556	SOHLH2	0.07	0.65	0.28	0.07	0.03
9	135691862	135702112	SOHLH1	0.00	0	0	0.00	0.00
6	127438406	127519024	SOGA3	0.01	0.1	0.05	0.01	0.01
20	36777447	36863538	SOGA1	0.50	4.97	4.51	0.50	0.45
4	24795478	24800845	SOD3	0.00	0	0	0.00	0.00
6	159760258	159762332	SOD2-OT1	0.12	1.24	0.72	0.12	0.07
6	159669069	159762281	SOD2	2.65	26.48	19.35	2.65	1.94
21	31659693	31668931	SOD1	12.21	121.93	92.17	12.21	9.23
17	38351844	38405593	SOCS7	0.57	5.69	2.9	0.57	0.29
18	70289045	70330199	SOCS6	0.75	7.45	5.39	0.75	0.54
2	46698937	46763129	SOCS5	0.79	7.91	7.52	0.79	0.75
14	55027131	55049489	SOCS4	1.04	8.57	10.38	0.86	1.04
17	78360448	78373909	SOCS3-DT	0.01	0.12	0.07	0.01	0.01
17	78356778	78360925	SOCS3	0.24	1.59	2.37	0.16	0.24
12	93565628	93571398	SOCS2-AS1	0.01	0.12	0.11	0.01	0.01
12	93569849	93626236	SOCS2	0.04	0.36	0.28	0.04	0.03
16	11254417	11256204	SOCS1	0.13	0.64	1.27	0.06	0.13
2	111490784	111510994	SOCAR	0.08	0.07	0.75	0.01	0.08
6	107490104	107661306	SOBP	0.08	0.4	0.75	0.04	0.08
12	53103486	53124535	SOAT2	0.00	0.02	0	0.00	0.00
1	179293719	179358680	SOAT1	0.85	7.69	8.53	0.77	0.85
6	157885114	157893151	SNX9-AS1	0.00	0	0	0.00	0.00
6	157716046	157945077	SNX9	0.77	7.72	6.4	0.77	0.64
7	2251770	2354477	SNX8	0.50	4.98	4.96	0.50	0.50
1	98661284	98760500	SNX7	2.05	20.47	13.68	2.05	1.37
14	34561093	34630148	SNX6	2.56	25.54	18.6	2.56	1.86
20	17941600	17968794	SNX5	2.48	24.79	18.35	2.48	1.84
3	125446644	125520202	SNX4	1.54	15.38	10.14	1.54	1.02
15	75647912	75662301	SNX33	0.29	2.21	2.91	0.22	0.29
11	65833640	65855169	SNX32	0.04	0.29	0.42	0.03	0.04
8	100572874	100663410	SNX31	0.00	0	0	0.00	0.00
9	112749723	112875847	SNX30	0.35	3.49	2.22	0.35	0.22
6	108211222	108261040	SNX3	9.94	99.23	71.44	9.94	7.15
16	29302287	29365059	SNX29P2	0.24	2.35	1.76	0.24	0.18
16	21349363	21385933	SNX29P1	0.01	0	0.09	0.00	0.01
16	11976734	12574287	SNX29	0.21	2.05	0.94	0.21	0.09
1	151612027	151699080	SNX27	0.93	9.29	7.45	0.93	0.75
4	185204237	185363966	SNX25	0.28	2.75	1.69	0.28	0.17
5	122845510	123029318	SNX24	0.38	3.82	2.82	0.38	0.28
15	64151698	64157481	SNX22	0.41	4.08	2.79	0.41	0.28
20	45833418	45843276	SNX21	0.20	1.95	1.33	0.20	0.13
16	50666300	50681312	SNX20	0.00	0	0	0.00	0.00
5	122774996	122834543	SNX2	0.60	6.03	2.92	0.60	0.29
11	130866250	130916488	SNX19	0.71	7.08	4.6	0.71	0.46
5	54517759	54619249	SNX18	0.39	2.62	3.87	0.26	0.39
2	27370616	27377535	SNX17	5.68	56.67	46.27	5.68	4.63
8	81799583	81842326	SNX16	0.38	3.79	1.98	0.38	0.20
11	65027439	65040572	SNX15	0.45	4.47	3.06	0.45	0.31
6	85505496	85593858	SNX14	1.37	13.65	10.93	1.37	1.09
7	17790761	17940507	SNX13	1.08	10.8	8.23	1.08	0.82
X	71059247	71073426	SNX12	3.03	29.46	30.3	2.95	3.03
17	48107533	48123601	SNX11	1.96	19.62	10.24	1.96	1.03
7	26291862	26374383	SNX10	0.08	0.76	0.04	0.08	0.00
15	64094066	64144231	SNX1	1.41	14.05	10.02	1.41	1.00
14	77717599	77761156	SNW1	1.68	16.76	12	1.68	1.20
15	24954987	24978723	SNURF	0.12	1.15	1.05	0.12	0.11
15	75598086	75626461	SNUPN	0.64	6.35	3.64	0.64	0.36
22	41673933	41690492	SNU13	6.92	69.06	58.75	6.92	5.88
3	63652675	63665212	SNTN	0.00	0	0	0.00	0.00
2	949634	951392	SNTG2-AS1	0.00	0	0	0.00	0.00
2	950849	1367991	SNTG2	0.00	0	0	0.00	0.00
8	49909796	50796692	SNTG1	0.13	0.15	1.29	0.02	0.13
16	69187164	69309052	SNTB2	0.23	2.31	1.58	0.23	0.16
8	120535756	120812046	SNTB1	0.46	1.48	4.58	0.15	0.46
20	33407957	33443853	SNTA1	0.54	5.44	2.95	0.54	0.30
15	24823637	24978723	SNRPN	0.15	1.48	1.28	0.15	0.13
2	70281362	70293740	SNRPG	13.54	135.23	113.45	13.54	11.36
12	95795345	95858839	SNRPF-DT	0.02	0.18	0	0.02	0.00
12	95858952	95866140	SNRPF	5.85	58.42	50.61	5.85	5.07
1	203861599	203871152	SNRPE	2.45	24.51	16.35	2.45	1.64
22	24555650	24574971	SNRPD3	2.13	21.22	16.54	2.13	1.66
1	231475762	231476525	SNRPD2P2	0.00	0	0	0.00	0.00
19	45687454	45692316	SNRPD2	63.20	631.09	524.41	63.20	52.51
18	21612314	21633520	SNRPD1	1.42	14.21	11.75	1.42	1.18
6	34757505	34773857	SNRPC	5.65	56.38	41.79	5.65	4.18
20	16730026	16742564	SNRPB2	3.60	35.93	25.4	3.60	2.54
20	2461642	2470789	SNRPB	33.67	336.18	252.33	33.67	25.27
15	101281510	101295248	SNRPA1	2.77	27.67	25.36	2.77	2.54
19	40751203	40765389	SNRPA	3.27	32.68	27.08	3.27	2.71
19	49085451	49108606	SNRNP70	3.57	35.68	25.44	3.57	2.55
6	7590198	7611967	SNRNP48	0.84	8.41	4.32	0.84	0.43
1	31259568	31296788	SNRNP40	8.31	82.95	56.99	8.31	5.71
12	123458101	123473154	SNRNP35	0.17	1.71	1.14	0.17	0.11
2	69893956	69905236	SNRNP27	3.40	33.91	19.27	3.40	1.93
16	53828	57669	SNRNP25	4.29	42.79	23.34	4.29	2.34
2	96274338	96305546	SNRNP200	2.14	21.35	19.85	2.14	1.99
3	43346919	43351962	SNRK-AS1	0.00	0.04	0	0.00	0.00
3	43286512	43351143	SNRK	0.40	4.03	2.9	0.40	0.29
20	1266292	1309327	SNPH	0.02	0.24	0.09	0.02	0.01
1	28578743	28578822	SNORD99	0.00	0	0	0.00	0.00
10	68755172	68755238	SNORD98	0.00	0	0	0.00	0.00
11	10801467	10801608	SNORD97	75.64	755.23	696.51	75.64	69.74
X	110224989	110225060	SNORD96B	0.00	0	0	0.00	0.00
5	181241818	181241889	SNORD96A	0.00	0	0	0.00	0.00
5	181243314	181243376	SNORD95	0.00	0	0	0.00	0.00
2	86135870	86136006	SNORD94	8.43	84.14	63.82	8.43	6.39
7	22856613	22856686	SNORD93	0.00	0	0	0.00	0.00
2	28913662	28913750	SNORD92	0.00	0	0	0.00	0.00
17	2329125	2329210	SNORD91B	0.00	0	0	0.00	0.00
17	2330279	2330370	SNORD91A	0.00	0	0	0.00	0.00
9	122880213	122880319	SNORD90	0.00	0	0	0.00	0.00
14	21392151	21392253	SNORD9	0.00	0	0	0.00	0.00
2	101272936	101273049	SNORD89	7.44	21.64	74.27	2.17	7.44
19	50802325	50802421	SNORD88C	0.00	0	0	0.00	0.00
19	50799029	50799125	SNORD88B	0.00	0	0	0.00	0.00
19	50799439	50799535	SNORD88A	0.00	0	0	0.00	0.00
8	66922474	66922549	SNORD87	0.00	0	0	0.00	0.00
20	2656097	2656182	SNORD86	0.00	0	0	0.00	0.00
6	31541101	31541178	SNORD84	0.00	0	0	0.00	0.00
22	39313819	39313911	SNORD83B	0.00	0	0	0.00	0.00
22	39315213	39315307	SNORD83A	0.00	0	0	0.00	0.00
