Chromosome	Start	End	Gene	TPM	Length
chr15	70386592	70386946	RPLP1	49.60	354
chr15	71275071	71275408	LARP6	0.95	337
chr15	71335538	71336011	LARP6	0.95	473
chr15	71634676	71635247	LARP6	0.95	571
chr15	71752686	71753045	PKM	79.67	359
chr15	74228527	74229004	PML	0.40	477
chr15	74468227	74468841	COX5A	4.02	614
chr15	75058276	75058822	PPCDC	0.32	546
chr15	77097368	77097852	TSPAN3	12.33	484
chr15	78023885	78024480	PSMA4	9.90	595
chr15	81531261	81531696	MEX3B	0.63	435
chr15	81642431	81642910	MEX3B	0.63	479
chr15	81914596	81915198	MEX3B	0.63	602
chr15	82134467	82134771	MEX3B	0.63	304
chr15	82146881	82147448	MEX3B	0.63	567
chr15	83061626	83062032	BTBD1	2.48	406
chr15	83733262	83733595	GOLGA2P7	0.10	333
chr15	85479206	85479714	KLHL25	0.30	508
chr15	85973840	85974339	KLHL25	0.30	499
chr15	93217387	93217696	CHD2	0.41	309
chr15	93265076	93265616	CHD2	0.41	540
chr15	93586994	93587528	CHD2	0.41	534
chr15	93658362	93658770	CHD2	0.41	408
chr15	93806713	93807135	CHD2	0.41	422
chr15	93982245	93982758	RGMA	0.26	513
chr15	94416847	94417180	.	.	333
chr15	94677267	94677980	.	.	713
chr15	95089775	95090131	.	.	356
chr15	95843189	95843898	NR2F2	0.47	709
chr15	95940433	95941084	NR2F2	0.47	651
chr15	96166888	96167196	NR2F2	0.47	308
chr15	99324152	99324469	TTC23	0.55	317
chr15	100715042	100715263	CHSY1	3.16	221
chr15	100902521	100902990	CHSY1	3.16	469
chr15	101187785	101188156	CHSY1	3.16	371
chr15	101199732	101200098	CHSY1	3.16	366
chr15	101439431	101439806	CHSY1	3.16	375
chr15	101440268	101440618	CHSY1	3.16	350
chr16	974568	975246	SOX8	6.57	678
chr16	1019241	1019775	SOX8	6.57	534
chr16	1041953	1042471	SOX8	6.57	518
chr16	1746182	1746464	RPS2	121.55	282
chr16	3645534	3645922	IL32	8.15	388
chr16	4053993	4054404	IL32	8.15	411
chr16	4544595	4544822	NUDT16L1	4.75	227
chr16	7351551	7352044	RBFOX1	0.24	493
chr16	7397826	7398301	RBFOX1	0.24	475
chr16	8717995	8718407	CARHSP1	5.05	412
chr16	9755158	9755693	C16orf72	1.89	535
chr16	10479683	10480059	RMI2	1.89	376
chr16	11640313	11640766	GSPT1	2.27	453
chr16	11781747	11782081	GSPT1	2.27	334
chr16	12252629	12253100	GSPT1	2.27	471
chr16	13110121	13110882	ERCC4	0.50	761
chr16	15519116	15519424	NDE1	1.24	308
chr16	15590915	15591358	NDE1	1.24	443
chr16	16004213	16004640	NDE1	1.24	427
chr16	19758148	19758463	GDE1	4.35	315
chr16	20166541	20166907	GPRC5B	0.17	366
chr16	22220032	22220462	UQCRC2	10.28	430
chr16	24146561	24147001	PLK1	3.50	440
chr16	26911437	26911766	NSMCE1	3.25	329
chr16	27222164	27222955	NSMCE1	3.25	791
chr16	27229005	27229571	NSMCE1	3.25	566
chr16	27326898	27327542	NSMCE1	3.25	644
chr16	27415073	27415556	NSMCE1	3.25	483
chr16	31064923	31065599	FUS	6.45	676
chr16	52435604	52436030	TOX3	0.12	426
chr16	65305683	65305997	.	.	314
chr16	66228681	66229234	.	.	553
chr16	67312037	67312434	CBFB	2.32	397
chr16	68790254	68790685	NIP7	1.81	431
chr16	68792859	68793278	NIP7	1.81	419
chr16	72791770	72792123	ZFHX3	0.08	353
chr16	73285377	73285660	ZFHX3	0.08	283
chr16	78537506	78537917	WWOX	0.26	411
chr16	78704402	78704663	WWOX	0.26	261
chr16	79287023	79287635	MAF	0.29	612
chr16	79645015	79645276	MAF	0.29	261
chr16	79648795	79649118	MAF	0.29	323
chr16	82888522	82888937	CDH13	1.53	415
chr16	83717775	83718234	CDH13	1.53	459
chr16	86499162	86499684	COX4I1	15.23	522
chr16	86522653	86523070	COX4I1	15.23	417
chr16	86768392	86768652	FOXF1	0.74	260
chr16	86772593	86773060	FOXF1	0.74	467
chr16	86791773	86792031	FOXF1	0.74	258
chr17	951829	952169	GLOD4	1.70	340
chr17	4040857	4041130	EMC6	2.69	273
chr17	5686160	5686619	C1QBP	10.86	459
chr17	6079133	6079543	C1QBP	10.86	410
chr17	8334230	8334707	RPL26	101.66	477
chr17	10354574	10355207	SCO1	0.19	633
chr17	11487486	11487824	MAP2K4	2.03	338
chr17	11564721	11565062	MAP2K4	2.03	341
chr17	11700296	11700737	MAP2K4	2.03	441
chr17	14228924	14229450	HS3ST3B1	1.08	526
chr17	14464592	14465113	HS3ST3B1	1.08	521
chr17	14797742	14798208	HS3ST3B1	1.08	466
chr17	15348033	15348416	PMP22	0.53	383
chr17	16467999	16468239	UBB	136.77	240
chr17	27446708	27447264	POLDIP2	4.39	556
chr17	28968460	28969002	RPL23A	64.87	542
chr17	28970028	28970309	RPL23A	64.87	281
chr17	29048487	29048991	PIPOX	1.56	504
chr17	29051207	29051597	PIPOX	1.56	390
chr17	29871061	29871419	BLMH	3.39	358
chr17	35254322	35254535	AP2B1	3.18	213
chr17	40460689	40460976	TOP2A	5.97	287
chr17	44105867	44106355	LSM12	3.01	488
chr17	49552307	49552767	SGCA	4.40	460
chr17	52419144	52419670	.	.	526
chr17	53193054	53193294	.	.	240
chr17	53707631	53707905	.	.	274
chr17	55056498	55056886	COX11	3.13	388
chr17	55160507	55160969	COX11	3.13	462
chr17	55162027	55162400	COX11	3.13	373
chr17	56602728	56603091	NOG	0.47	363
chr17	56681492	56681951	NOG	0.47	459
chr17	57545798	57546220	MSI2	1.56	422
chr17	57580433	57580702	MSI2	1.56	269
chr17	58648299	58648589	SKA2	2.91	290
chr17	59093803	59094253	SKA2	2.91	450
chr17	61196159	61196718	TBX2	0.56	559
chr17	61325393	61325714	TBX2	0.56	321
chr17	63399781	63400178	PSMC5	4.15	397
chr17	63985125	63985452	PSMC5	4.15	327
chr17	65297529	65297937	GNA13	1.41	408
chr17	65320830	65321252	GNA13	1.41	422
chr17	65324643	65325032	GNA13	1.41	389
chr17	66324491	66324950	PRKCA	1.29	459
chr17	66461568	66462220	PRKCA	1.29	652
chr17	66467046	66467405	PRKCA	1.29	359
chr17	66613011	66613322	PRKCA	1.29	311
chr17	68510424	68510764	KPNA2	16.18	340
chr17	68577273	68577730	KPNA2	16.18	457
chr17	69716620	69717070	MAP2K6	0.04	450
chr17	70310160	70310603	MAP2K6	0.04	443
chr17	70319443	70319656	MAP2K6	0.04	213
chr17	75059542	75060189	SUMO2	6.71	647
chr17	78315606	78315842	BIRC5	12.23	236
chr17	79046907	79047342	BIRC5	12.23	435
chr17	80811238	80811527	ACTG1	96.42	289
chr17	82893856	82894135	WDR45B	4.68	279
chr18	3179365	3179911	MYL12A	45.59	546
chr18	3403034	3403633	MYL12A	45.59	599
chr18	3623834	3624521	MYL12A	45.59	687
chr18	6741319	6741621	ARHGAP28	1.08	302
chr18	8188295	8188575	RAB12	2.77	280
chr18	10122011	10122615	VAPA	4.12	604
chr18	23114406	23114740	RBBP8	2.32	334
chr18	23225512	23225933	RBBP8	2.32	421
chr18	23244312	23244843	RBBP8	2.32	531
chr18	24705035	24705677	ZNF521	0.36	642
chr18	25798026	25798492	ZNF521	0.36	466
chr18	34115629	34116023	DTNA	0.73	394
chr18	34707723	34707991	DTNA	0.73	268
chr18	38459080	38459503	.	.	423
chr18	38481605	38481938	.	.	333
chr18	42614600	42615129	PIK3C3	0.46	529
chr18	42617212	42617627	PIK3C3	0.46	415
chr18	43525261	43525555	RIT2	0.01	294
chr18	43869625	43870076	.	.	451
chr18	44548313	44548849	.	.	536
chr18	44721690	44722045	SETBP1	0.26	355
chr18	44789726	44790074	SETBP1	0.26	348
chr18	46387792	46388127	HAUS1	2.08	335
chr18	48217014	48217405	SMAD2	0.64	391
chr18	51578484	51578936	MEX3C	0.76	452
chr18	56245928	56246246	TXNL1	4.31	318
chr18	58402240	58402720	FECH	0.95	480
chr18	60930029	60930356	.	.	327
chr18	61528962	61529381	PIGN	1.00	419
chr18	61556888	61557182	PIGN	1.00	294
chr18	61841636	61841966	PIGN	1.00	330
chr18	61999088	61999413	PIGN	1.00	325
chr18	62030059	62030492	PIGN	1.00	433
chr18	62881525	62881844	PIGN	1.00	319
chr18	63138508	63138855	VPS4B	1.73	347
chr18	65737364	65737874	CDH7	0.02	510
chr18	66159462	66159907	CDH7	0.02	445
chr18	66439190	66439521	CDH7	0.02	331
chr18	66682917	66683321	CDH7	0.02	404
chr18	66833598	66834020	.	.	422
chr18	66971982	66972377	.	.	395
chr18	67109569	67109885	.	.	316
chr18	67600178	67600524	DSEL	1.46	346
chr18	68041298	68041766	TMX3	3.29	468
chr18	68275597	68276141	TMX3	3.29	544
chr19	2302250	2302580	OAZ1	22.32	330
chr19	10947049	10947460	TMED1	1.51	411
chr19	11330172	11330472	TMEM205	3.60	300
chr19	30662127	30662807	TSHZ3	0.93	680
chr19	31160289	31160739	TSHZ3	0.93	450
chr19	31223926	31224583	TSHZ3	0.93	657
chr19	31378338	31378848	TSHZ3	0.93	510
chr19	31451802	31452365	TSHZ3	0.93	563
chr19	32330198	32330693	PDCD5	7.91	495
chr19	33727531	33727900	LSM14A	2.16	369
chr19	36169281	36169945	CAPNS1	14.72	664
chr19	38270628	38271109	EIF3K	22.39	481
chr19	42032412	42032841	PAFAH1B3	3.71	429
chr19	44635696	44636048	TOMM40	4.58	352
chr19	47848716	47849174	SAE1	6.27	458
chr19	48654562	48655059	RPS11	147.05	497
chr19	48656987	48657365	RPS11	147.05	378
chr19	49560311	49560712	RPS11	147.05	401
chr19	50178747	50179328	C19orf48	4.70	581
chr19	53545233	53545520	ZNF761	0.65	287
chr19	55505068	55505317	RPL28	32.12	249
chr19	56683187	56683487	PEG3	4.68	300
chr19	56900586	56901052	PEG3	4.68	466
chr19	56905633	56906209	PEG3	4.68	576
chr19	56912397	56912747	PEG3	4.68	350
chr19	57056849	57057454	PEG3	4.68	605
chr2	1652865	1653556	PXDN	7.52	691
chr2	1686612	1687155	PXDN	7.52	543
chr2	1707860	1708345	PXDN	7.52	485
chr2	1792030	1792610	PXDN	7.52	580
chr2	4272294	4272758	.	.	464
chr2	4662110	4662711	.	.	601
chr2	10517610	10517966	ODC1	10.96	356
chr2	12352852	12353253	TRIB2	0.57	401
chr2	14011220	14011537	.	.	317
chr2	14149441	14149742	.	.	301
chr2	15730156	15730880	DDX1	4.26	724
chr2	16038617	16039074	DDX1	4.26	457
chr2	16204984	16205482	DDX1	4.26	498
chr2	18047130	18047663	KCNS3	1.07	533
chr2	18047948	18048337	KCNS3	1.07	389
chr2	18153866	18154626	KCNS3	1.07	760
chr2	20622681	20623097	PUM2	2.00	416
chr2	21256023	21256392	.	.	369
chr2	22019972	22020629	.	.	657
chr2	23427886	23428282	ATAD2B	0.40	396
chr2	23534723	23535306	ATAD2B	0.40	583
chr2	23645218	23645556	ATAD2B	0.40	338
chr2	24411054	24411343	PTRHD1	1.56	289
chr2	25303796	25304222	DNMT3A	0.54	426
chr2	29657608	29658133	YPEL5	2.48	525
chr2	30273124	30273639	YPEL5	2.48	515
chr2	30274667	30275064	YPEL5	2.48	397
chr2	30290511	30291027	YPEL5	2.48	516
chr2	31440910	31441381	LCLAT1	0.86	471
chr2	32910875	32911257	DPY30	8.76	382
chr2	33498520	33498858	FAM98A	1.05	338
chr2	33835943	33836455	FAM98A	1.05	512
chr2	36708311	36708727	FEZ2	1.49	416
chr2	37631303	37631678	PRKD3	1.48	375
chr2	37648687	37649116	PRKD3	1.48	429
chr2	37768557	37769023	PRKD3	1.48	466
chr2	37786801	37787256	PRKD3	1.48	455
chr2	37819119	37819614	PRKD3	1.48	495
chr2	38797170	38797648	SRSF7	8.71	478
chr2	39696056	39696558	MAP4K3	0.68	502
chr2	41719847	41720173	.	.	326
chr2	41727801	41728050	.	.	249
chr2	42342466	42343034	COX7A2L	5.95	568
chr2	45278290	45278865	SIX2	1.92	575
chr2	45337508	45337888	SIX2	1.92	380
chr2	45390883	45391280	SIX2	1.92	397
chr2	45908857	45909104	SRBD1	0.51	247
chr2	46073589	46073879	MCFD2	3.13	290
chr2	46332993	46333395	MCFD2	3.13	402
chr2	48196257	48196619	MSH6	3.01	362
chr2	60364574	60364946	BCL11A	0.29	372
chr2	60366223	60366696	BCL11A	0.29	473
chr2	60533565	60533806	BCL11A	0.29	241
chr2	63604657	63605061	MDH1	13.99	404
chr2	63743196	63743503	MDH1	13.99	307
chr2	64064115	64064797	PELI1	1.09	682
chr2	64669348	64669709	ACTR2	8.97	361
chr2	64679695	64680322	ACTR2	8.97	627
chr2	64730507	64730886	ACTR2	8.97	379
chr2	66031296	66031558	MEIS1	0.31	262
chr2	66305528	66306186	MEIS1	0.31	658
chr2	67612824	67613132	C1D	1.52	308
chr2	67626201	67626610	C1D	1.52	409
chr2	67649490	67650112	C1D	1.52	622
chr2	68771245	68771882	PPP3R1	7.19	637
chr2	68799012	68799406	PPP3R1	7.19	394
chr2	68811404	68811758	PPP3R1	7.19	354
chr2	68889396	68890092	PPP3R1	7.19	696
chr2	70596754	70597272	SNRPG	13.54	518
chr2	75076102	75076496	POLE4	2.65	394
chr2	76478636	76479029	MRPL19	0.94	393
chr2	82792332	82792727	.	.	395
chr2	85175032	85175917	TGOLN2	2.79	885
chr2	85175032	85175917	TGOLN2	2.79	885
chr2	85277699	85278249	RNF181	7.59	550
chr2	85504854	85505355	RNF181	7.59	501
chr2	85744756	85745216	SNORD94	8.43	460
chr2	86028771	86029099	SNORD94	8.43	328
chr2	99432003	99432224	TXNDC9	2.60	221
chr2	101500917	101501294	MAP4K4	1.00	377
chr2	105504471	105504834	FHL2	1.76	363
chr2	107418634	107419479	ST6GAL2	0.65	845
chr2	109436058	109436664	CCDC138	1.00	606
chr2	114219485	114219799	ACTR3	2.58	314
chr2	120765713	120766386	CLASP1	0.61	673
chr2	120820165	120820562	CLASP1	0.61	397
chr2	132871805	132872208	NCKAP5	0.07	403
chr2	136005827	136006346	MCM6	10.73	519
chr2	136024533	136024907	MCM6	10.73	374
chr2	136031704	136032483	MCM6	10.73	779
chr2	136046252	136046700	MCM6	10.73	448
chr2	138072150	138072707	HNMT	0.01	557
chr2	140063435	140063742	.	.	307
chr2	141709792	141710130	.	.	338
chr2	143475079	143475720	GTDC1	0.61	641
chr2	143607556	143608182	ZEB2	1.31	626
chr2	144404649	144404983	ZEB2	1.31	334
chr2	144431347	144431730	ZEB2	1.31	383
chr2	144938200	144938650	.	.	450
chr2	145380544	145381016	.	.	472
chr2	145410218	145410460	.	.	242
chr2	145760822	145761177	.	.	355
chr2	146119343	146119854	.	.	511
chr2	146128907	146129241	.	.	334
chr2	146189574	146189901	.	.	327
chr2	147002209	147002625	ACVR2A	1.06	416
chr2	147398953	147399353	ORC4	1.16	400
chr2	148614708	148615180	EPC2	0.85	472
chr2	148722084	148722532	EPC2	0.85	448
chr2	150469935	150470266	MMADHC	9.93	331
chr2	151097110	151097529	RND3	1.39	419
chr2	155630778	155631110	.	.	332
chr2	157692785	157693206	PKP4	1.29	421
chr2	160214330	160214912	TANK	1.40	582
chr2	160984363	160984896	TANK	1.40	533
chr2	164890526	164890927	COBLL1	0.14	401
chr2	164898470	164898761	COBLL1	0.14	291
chr2	167487742	167488099	CERS6	1.06	357
chr2	170680634	170680978	GORASP2	3.53	344
chr2	170847774	170848028	GORASP2	3.53	254
chr2	171482829	171483395	CYBRD1	4.57	566
chr2	173589964	173590809	OLA1	2.86	845
chr2	174807520	174807826	CHRNA1	14.11	306
chr2	175600134	175600884	HOXD8	0.26	750
chr2	177187588	177188011	HNRNPA3	3.23	423
chr2	180235064	180235393	UBE2E3	3.12	329
chr2	180246238	180246722	UBE2E3	3.12	484
chr2	180739108	180739506	UBE2E3	3.12	398
chr2	181371752	181372297	UBE2E3	3.12	545
chr2	181780124	181780687	UBE2E3	3.12	563
chr2	184004310	184004663	NUP35	1.46	353
chr2	184938272	184938941	ZNF804A	0.44	669
chr2	185979201	185979493	FSIP2	0.01	292
chr2	186068250	186068804	FSIP2	0.01	554
chr2	186195886	186196174	ZC3H15	2.75	288
chr2	189318711	189319174	COL3A1	8.60	463
chr2	191321899	191322227	STAT1	2.06	328
chr2	192151807	192152253	TMEFF2	0.19	446
chr2	192155518	192155886	TMEFF2	0.19	368
chr2	199798715	199799296	C2orf69	0.82	581
chr2	199988119	199988607	BZW1	17.73	488
chr2	200026317	200026708	BZW1	17.73	391
chr2	200039763	200040157	BZW1	17.73	394
chr2	200051368	200051766	BZW1	17.73	398
chr2	200065413	200065917	BZW1	17.73	504
chr2	200080126	200080419	BZW1	17.73	293
chr2	200148337	200148754	BZW1	17.73	417
chr2	202387946	202388269	SUMO1	6.68	323
chr2	203732067	203732641	ABI2	2.29	574
chr2	203808046	203808626	ABI2	2.29	580
chr2	203893257	203893781	ABI2	2.29	524
chr2	204239808	204240072	PARD3B	0.04	264
chr2	204365762	204366180	PARD3B	0.04	418
chr2	204665265	204665672	PARD3B	0.04	407
chr2	205053861	205054218	PARD3B	0.04	357
chr2	205865965	205866466	INO80D	0.24	501
chr2	205937162	205937584	EEF1B2	55.87	422
chr2	206457214	206457481	FASTKD2	1.11	267
chr2	207055228	207055679	CREB1	0.92	451
chr2	209943266	209943687	RPE	2.03	421
chr2	211259888	211260286	LANCL1	2.16	398
chr2	215052449	215052920	FN1	7.38	471
chr2	215465275	215465607	FN1	7.38	332
chr2	215537512	215537927	FN1	7.38	415
chr2	217225638	217226029	RPL37A	16.21	391
chr2	217636816	217637522	TNS1	0.11	706
chr2	219087310	219087756	TUBA4A	15.25	446
chr2	219889765	219890186	DES	8.41	421
chr2	220215747	220216211	DES	8.41	464
chr2	220509271	220509632	CHPF	2.52	361
chr2	220587173	220587653	EPHA4	0.54	480
chr2	220855322	220855710	EPHA4	0.54	388
chr2	221133966	221134236	EPHA4	0.54	270
chr2	222038153	222038455	EPHA4	0.54	302
chr2	222076847	222077509	PAX3	1.66	662
chr2	222136113	222136650	PAX3	1.66	537
chr2	222141996	222142359	PAX3	1.66	363
chr2	222169401	222169788	PAX3	1.66	387
chr2	222312657	222313017	FARSB	3.30	360
chr2	222448724	222449237	FARSB	3.30	513
chr2	222743868	222744445	FARSB	3.30	577
chr2	222753250	222753863	FARSB	3.30	613
chr2	223485743	223486148	FARSB	3.30	405
chr2	224312711	224313165	MRPL44	4.14	454
chr2	224687234	224687491	CUL3	2.02	257
chr2	224722778	224723088	CUL3	2.02	310
chr2	224723507	224724023	CUL3	2.02	516
chr2	225354367	225354742	DOCK10	0.06	375
chr2	225764202	225764756	DOCK10	0.06	554
chr2	225894394	225894839	IRS1	1.30	445
chr2	226414325	226414628	IRS1	1.30	303
chr2	226446444	226446861	IRS1	1.30	417
chr2	226684637	226684868	IRS1	1.30	231
chr2	226759282	226759627	IRS1	1.30	345
chr2	226875867	226876255	IRS1	1.30	388
chr2	229050051	229050463	PID1	0.89	412
chr2	229205687	229206089	PID1	0.89	402
chr2	229901875	229902271	TRIP12	1.93	396
chr2	230650537	230650937	PSMD1	3.05	400
chr2	234074960	234075454	ARL4C	0.31	494
chr2	234242074	234242382	ARL4C	0.31	308
chr2	236871595	236872006	COPS8	1.60	411
chr2	237669541	237670038	HES6	2.47	497
chr2	237726388	237726812	HES6	2.47	424
chr2	240991756	240992083	HDLBP	4.34	327
chr20	3461156	3461735	ATRN	0.69	579
chr20	5767413	5767950	CRLS1	2.50	537
chr20	6632184	6632596	BMP2	0.29	412
chr20	6665973	6666255	BMP2	0.29	282
chr20	6882886	6883245	BMP2	0.29	359
chr20	10447068	10447340	MKKS	1.32	272
chr20	14838766	14839559	FLRT3	0.32	793
chr20	15385935	15386164	MACROD2	0.01	229
chr20	15889332	15889947	SNRPB2	3.60	615
chr20	17190204	17190660	SNRPB2	3.60	456
chr20	19620398	19620876	NAA20	5.77	478
chr20	19786267	19786700	NAA20	5.77	433
chr20	19807170	19807778	NAA20	5.77	608
chr20	19993028	19993502	NAA20	5.77	474
chr20	22430002	22430431	NXT1	4.90	429
chr20	22789566	22790035	NXT1	4.90	469
chr20	22801520	22801851	NXT1	4.90	331
chr20	22920939	22921296	NXT1	4.90	357
chr20	22976884	22977718	NXT1	4.90	834
chr20	24610175	24610683	APMAP	6.16	508
chr20	24632992	24633460	APMAP	6.16	468
chr20	25117066	25117492	APMAP	6.16	426
chr20	28563034	28563343	.	.	309
chr20	29457020	29457243	MLLT10P1	0.06	223
chr20	32072021	32072633	MAPRE1	13.69	612
chr20	37880682	37881346	SNORA71A	72.77	664
chr20	39909684	39909897	.	.	213
chr20	39910608	39910928	.	.	320
chr20	40073564	40073900	.	.	336
chr20	41004609	41005096	TOP1	2.09	487
chr20	41475978	41476521	TOP1	2.09	543
chr20	41927215	41927707	.	.	492
chr20	41990027	41990679	.	.	652
chr20	41992481	41992810	.	.	329
chr20	43987620	43987914	SRSF6	9.60	294
chr20	44284090	44284497	YWHAB	15.22	407
chr20	46317049	46317525	NCOA5	2.43	476
chr20	46797209	46797702	TP53RK	1.74	493
chr20	46802675	46803107	TP53RK	1.74	432
chr20	46814906	46815190	TP53RK	1.74	284
chr20	46978947	46979606	TP53RK	1.74	659
chr20	47061465	47061922	TP53RK	1.74	457
chr20	47846693	47847097	NCOA3	0.88	404
chr20	47908454	47909060	NCOA3	0.88	606
chr20	47929445	47930073	NCOA3	0.88	628
chr20	48335339	48335825	NCOA3	0.88	486
chr20	48397275	48397815	NCOA3	0.88	540
chr20	48455961	48456599	NCOA3	0.88	638
chr20	48463946	48464491	NCOA3	0.88	545
chr20	48479187	48479567	NCOA3	0.88	380
chr20	48489642	48490221	NCOA3	0.88	579
chr20	48797227	48797760	ARFGEF2	1.10	533
chr20	48906320	48906583	ARFGEF2	1.10	263
chr20	49230702	49231285	CSE1L	12.31	583
chr20	49583578	49584101	ZFAS1	6.17	523
chr20	50009541	50010132	UBE2V1	6.66	591
chr20	51335344	51335933	DPM1	4.70	589
chr20	51339743	51339982	DPM1	4.70	239
chr20	51366068	51366542	DPM1	4.70	474
chr20	51536800	51537191	NFATC2	0.05	391
chr20	52269256	52269708	ZFP64	0.46	452
chr20	53708273	53708647	ZNF217	2.14	374
chr20	53736150	53736500	ZNF217	2.14	350
chr20	53738441	53738709	ZNF217	2.14	268
chr20	53899298	53900091	ZNF217	2.14	793
chr20	56431470	56431869	AURKA	5.63	399
chr20	57168211	57168751	AURKA	5.63	540
chr20	57880152	57880443	PMEPA1	0.48	291
chr20	57928213	57928523	PMEPA1	0.48	310
chr20	58072001	58072413	PMEPA1	0.48	412
chr20	58102289	58102855	PMEPA1	0.48	566
chr20	59334475	59335267	EDN3	0.14	792
chr20	59365745	59366286	EDN3	0.14	541
chr20	60403233	60403684	FAM217B	2.05	451
chr20	60512457	60512961	FAM217B	2.05	504
chr20	61385285	61386140	TAF4	0.54	855
chr20	61538037	61538601	TAF4	0.54	564
chr20	62511546	62511937	RPS21	177.93	391
chr21	19523753	19524078	.	.	325
chr21	22961276	22961588	.	.	312
chr21	25750066	25750499	APP	5.97	433
chr21	25998182	25998701	APP	5.97	519
chr21	26007920	26008549	APP	5.97	629
chr21	26719612	26720261	APP	5.97	649
chr21	26762157	26762523	APP	5.97	366
chr21	26799231	26799613	ADAMTS1	1.40	382
chr21	26811068	26811470	ADAMTS1	1.40	402
chr21	26856860	26857372	ADAMTS1	1.40	512
chr21	26946054	26946644	ADAMTS1	1.40	590
chr21	27570397	27570934	ADAMTS1	1.40	537
chr21	28069416	28069801	USP16	1.16	385
chr21	28207934	28208170	USP16	1.16	236
chr21	28342240	28342645	USP16	1.16	405
chr21	29130351	29131059	CCT8	11.52	708
chr21	31879882	31880324	MIS18A	2.20	442
chr21	32248477	32248843	MIS18A	2.20	366
chr21	32932685	32933143	GART	3.26	458
chr21	33238160	33238500	GART	3.26	340
chr21	35178827	35179272	CBR1	3.21	445
chr21	35635211	35635625	CBR1	3.21	414
chr21	39851152	39851604	PCP4	0.03	452
chr21	44773542	44774057	PTTG1IP	9.35	515
chr21	44785634	44785943	PTTG1IP	9.35	309
chr22	17576368	17576911	ATP6V1E1	4.89	543
chr22	25680959	25681358	CRYBB2P1	0.25	399
chr22	26887514	26887843	TFIP11	0.90	329
chr22	27377848	27378302	PITPNB	2.14	454
chr22	27416478	27416862	PITPNB	2.14	384
chr22	27447282	27447790	PITPNB	2.14	508
chr22	27639308	27639714	PITPNB	2.14	406
chr22	27790436	27790688	PITPNB	2.14	252
chr22	29143840	29144670	XBP1	5.54	830
chr22	29364121	29364382	EWSR1	4.54	261
chr22	31679807	31680415	RTCB	5.03	608
chr22	32555642	32555984	.	.	342
chr22	32579858	32580120	.	.	262
chr22	33971503	33972124	LARGE-AS1	0.01	621
chr22	34798565	34799003	HMGXB4	1.56	438
chr22	35313419	35314093	MCM5	1.99	674
chr22	35850097	35850706	EIF3D	4.06	609
chr22	36432674	36433057	EIF3D	4.06	383
chr22	43293394	43294282	SAMM50	2.29	888
chr22	44686869	44687199	SAMM50	2.29	330
chr22	47309502	47309912	.	.	410
chr22	48021912	48022487	.	.	575
chr3	2024002	2024396	CNTN4	0.05	394
chr3	3587242	3587771	SETMAR	2.29	529
chr3	3689627	3690023	SETMAR	2.29	396
chr3	3772964	3773421	SETMAR	2.29	457
chr3	4059977	4060486	SETMAR	2.29	509
chr3	4355599	4356075	SETMAR	2.29	476
chr3	4807315	4807713	ARL8B	4.80	398
chr3	5227233	5227544	ARL8B	4.80	311
chr3	5784668	5784893	ARL8B	4.80	225
chr3	7508823	7509215	LMCD1-AS1	0.10	392
chr3	7630230	7630689	LMCD1-AS1	0.10	459
chr3	8329036	8329306	LMCD1-AS1	0.10	270
chr3	8371140	8371559	LMCD1	0.98	419
chr3	8371140	8371559	LMCD1	0.98	419
chr3	8489194	8489787	LMCD1	0.98	593
chr3	8589786	8590261	CAV3	3.13	475
chr3	8712439	8713035	CAV3	3.13	596
chr3	11371755	11372104	ATG7	1.18	349
chr3	15635199	15635585	EAF1	2.71	386
chr3	20375434	20375717	.	.	283
chr3	20984853	20985105	ZNF385D	0.18	252
chr3	21913780	21914164	ZNF385D	0.18	384
chr3	21942381	21942752	ZNF385D	0.18	371
chr3	23019868	23020313	.	.	445
chr3	23071120	23071633	RPL15	74.09	513
chr3	23481621	23481870	RPL15	74.09	249
chr3	23590485	23590807	RPL15	74.09	322
chr3	23600015	23600521	RPL15	74.09	506
chr3	26588921	26589250	.	.	329
chr3	26912072	26912320	.	.	248
chr3	28881549	28882132	RBMS3	0.09	583
chr3	29064209	29064525	RBMS3	0.09	316
chr3	29099295	29099898	RBMS3	0.09	603
chr3	29468211	29468492	RBMS3	0.09	281
chr3	29922987	29923493	RBMS3	0.09	506
chr3	29991187	29991588	TGFBR2	0.88	401
chr3	30448979	30449357	TGFBR2	0.88	378
chr3	30496412	30496825	TGFBR2	0.88	413
chr3	30904928	30905511	STT3B	5.25	583
chr3	34843496	34843777	ARPP21	0.20	281
chr3	34947945	34948223	ARPP21	0.20	278
chr3	37197642	37198337	MLH1	0.96	695
chr3	40602933	40603375	CTNNB1	17.25	442
chr3	40780864	40781423	CTNNB1	17.25	559
chr3	45612866	45613210	ZDHHC3	1.17	344
chr3	53939037	53939500	ACTR8	0.44	463
chr3	54257190	54257618	CACNA2D3	0.04	428
chr3	56122833	56123354	ERC2	0.03	521
chr3	57048312	57048917	ARF4	8.57	605
chr3	57128173	57128528	ARF4	8.57	355
chr3	58581534	58582108	PDHB	2.82	574
chr3	61438901	61439342	FHIT	0.03	441
chr3	61777473	61777825	PTPRG	0.28	352
chr3	61893876	61894176	PTPRG	0.28	300
chr3	61894998	61895382	PTPRG	0.28	384
chr3	62686898	62687330	.	.	432
